Booth Number,Pos X,Pos Y,Pos Z,Rotation Y (Degrees),Booth Name,Univ Name
S1B1,10.1589,2.8704,-32.6909,-90.0,Knowledge Science 연구센터,동국대학교
S1B2,10.1589,2.8704,-27.1966,-90.0,초지능연구센터,고려대학교
S1B3,11.0559,2.8704,-27.1966,90.0,Digital-X AIoT 연구센터,부산대학교
S1B4,11.0559,2.8704,-32.6909,90.0,인간 인지-지능 증강 연구센터,POSTECH
S1B5,19.6038,2.8704,-30.5762,-90.0,Open-ended Alignment 인공지능 연구센터,성균관대학교
S1B6,19.6038,2.8704,-25.082,-90.0,범용 인공지능 연구센터,고려대학교
S1B7,19.6038,2.8704,-19.5877,-90.0,AI-LIVE 연구센터,경희대학교
S2B1,10.1589,2.8704,-16.208,-90.0,초지능 통신/컴퓨팅 융합 연구센터,KAIST
S2B2,10.1589,2.8704,-10.7137,-90.0,위성영상분석ICT 연구센터,창원대학교
S2B3,10.1589,2.8704,-5.2195,-90.0,6H 차세대 이동통신기술 연구센터,경희대학교
S2B4,11.0559,2.8704,-5.2195,90.0,초공간 과업지향통신 연구센터,광운대학교
S2B5,11.0559,2.8704,-10.7137,90.0,NS-위성 RTDC 기술 연구센터,인천대학교
S2B6,11.0559,2.8704,-16.208,90.0,5G & 6G 차세대 통신 네트워크 연구센터,중앙대학교
S2B7,19.6038,2.8704,-14.0895,-90.0,VIACOMM 연구센터,충남대학교
S2B8,19.6038,2.8704,-8.5952,-90.0,탄소중립 미래자율통신 연구센터,고려대학교
S2B9,19.6038,2.8704,-3.1009,-90.0,6G 무선통신 글로컬 연구센터,한밭대학교
S3B1,10.1589,2.8704,3.0681,-90.0,초광역 연합 의료 AI 연구센터,전남대학교
S3B2,10.1589,2.8704,8.5623,-90.0,ICT명품인재양성사업단,성균관대학교
S3B3,11.0559,2.8704,8.5623,90.0,일상-항시적 건강관리 Earable-IoT 연구센터,KAIST
S3B4,11.0559,2.8704,3.0681,90.0,스마트시티 지능형 헬스케어 연구센터,고려대학교 세종캠퍼스
S3B5,19.6038,2.8704,2.3934,-90.0,지능형 의료 영상 진단 솔루션 연구센터,아주대학교
S3B6,19.6038,2.8704,7.8877,-90.0,강원지능화혁신센터,강원대학교
