Booth Number,Pos X,Pos Y,Pos Z,Rotation Y (Degrees)
S1B1,8.5468,0.0,-30.8818,-118.0
S1B2,8.5468,0.0,-25.3833,-118.0
S1B3,12.6862,0.0,-27.9477,62.0
S1B4,12.6862,0.0,-33.4497,62.0
S1B5,17.9698,0.0,-29.8106,-118.0
S1B6,17.9698,0.0,-24.3187,-118.0
S1B7,17.9698,0.0,-18.7912,-118.0
S2B1,8.5468,0.0,-14.3409,-118.0
S2B2,8.5468,0.0,-8.8423,-118.0
S2B3,8.5468,0.0,-3.3936,-118.0
S2B4,12.6862,0.0,-5.9580,62.0
S2B5,12.6862,0.0,-11.4068,62.0
S2B6,12.6862,0.0,-16.9088,62.0
S2B7,17.9698,0.0,-13.2697,-118.0
S2B8,17.9698,0.0,-7.7778,-118.0
S2B9,17.9698,0.0,-2.2503,-118.0
S3B1,8.5468,0.0,4.8880,-118.0
S3B2,8.5468,0.0,10.3865,-118.0
S3B3,12.6862,0.0,7.8221,62.0
S3B4,12.6862,0.0,2.3201,62.0
S3B5,17.9698,0.0,3.1750,-118.0
S3B6,17.9698,0.0,8.6669,-118.0
S3B7,17.9698,0.0,14.1944,-118.0
S4B1,8.5468,0.0,18.5754,-118.0
S4B2,8.5468,0.0,24.0739,-118.0
S4B3,8.5468,0.0,29.5226,-118.0
S4B4,12.6862,0.0,26.9582,62.0
S4B5,12.6862,0.0,21.5095,62.0
S4B6,12.6862,0.0,16.0074,62.0
S4B7,17.9698,0.0,19.6465,-118.0
S4B8,17.9698,0.0,25.1385,-118.0
S4B9,17.9698,0.0,30.6659,-118.0
S5B1,-2.3151,0.0,-30.8818,-118.0
S5B2,-2.3151,0.0,-25.3833,-118.0
S5B3,1.8243,0.0,-27.9477,62.0
S5B4,1.8243,0.0,-33.4497,62.0
S5B5,-7.492,0.0,-21.3479,62.0
S5B6,-7.492,0.0,-26.8398,62.0
S5B7,-7.492,0.0,-32.3673,62.0
S6B1,-2.3151,0.0,-14.4160,-118.0
S6B2,-2.3151,0.0,-8.9175,-118.0
S6B3,-2.3151,0.0,-3.4232,-118.0
S6B4,1.8243,0.0,-5.9876,62.0
S6B5,1.8243,0.0,-11.4819,62.0
S6B6,1.8243,0.0,-16.9840,62.0
S6B7,-7.492,0.0,-7.5154,62.0
S6B8,-7.492,0.0,-13.0429,62.0
S7B1,-2.3151,0.0,4.8429,-118.0
S7B2,-2.3151,0.0,10.3415,-118.0
S7B3,1.8243,0.0,7.7771,62.0
S7B4,1.8243,0.0,2.2750,62.0
S7B5,-7.492,0.0,11.5727,62.0
S7B6,-7.492,0.0,6.0808,62.0
S7B7,-7.492,0.0,0.5533,62.0
S8B1,-2.3151,0.0,18.5095,-118.0
S8B2,-2.3151,0.0,24.0080,-118.0
S8B3,-2.3151,0.0,29.5023,-118.0
S8B4,1.8243,0.0,26.9379,62.0
S8B5,1.8243,0.0,21.4436,62.0
S8B6,1.8243,0.0,15.9415,62.0
S8B7,-7.492,0.0,22.5443,62.0
S8B8,-7.492,0.0,28.0718,62.0
S9B1,-19.0499,3.0,-30.9084,-118.0
S9B2,-19.0499,3.0,-25.4099,-118.0
S9B3,-19.0499,3.0,-19.9156,-118.0
S9B4,-19.0499,3.0,-14.4119,-118.0
S9B5,-14.9105,3.0,-16.9763,62.0
S9B6,-14.9105,3.0,-22.4800,62.0
S9B7,-14.9105,3.0,-27.9743,62.0
S9B8,-14.9105,3.0,-33.4764,62.0
S9B9,-24.6301,3.0,-21.3152,62.0
S9B10,-24.6301,3.0,-26.8190,62.0
S9B11,-24.6301,3.0,-32.3109,62.0
S10B1,-19.0499,3.0,7.5723,-118.0
S10B2,-19.0499,3.0,13.0708,-118.0
S10B3,-19.0499,3.0,18.5651,-118.0
S10B4,-14.9105,3.0,16.0007,62.0
S10B5,-14.9105,3.0,10.5064,62.0
S10B6,-14.9105,3.0,5.0043,62.0
S10B7,-24.6301,3.0,11.6617,62.0
S10B8,-24.6301,3.0,6.1698,62.0
S11B1,-15.9000,3.0,-7.2500,-48.0
S11B2,-25.0200,3.0,-6.7600,62.0
