Booth Number,Pos X,Pos Y,Pos Z,Rotation Y (Degrees)
S1B1,8.5468,0.0,-33.3818,-170.0
S1B2,8.5468,0.0,-27.8833,-170.0
S1B3,12.6862,0.0,-25.4477,10.0
S1B4,12.6862,0.0,-30.9497,10.0
S1B5,17.9698,0.0,-32.3106,-170.0
S1B6,17.9698,0.0,-26.8187,-170.0
S1B7,17.9698,0.0,-21.2912,-170.0
S2B1,8.5468,0.0,-16.8409,-170.0
S2B2,8.5468,0.0,-11.3423,-170.0
S2B3,8.5468,0.0,-5.8936,-170.0
S2B4,12.6862,0.0,-3.4580,10.0
S2B5,12.6862,0.0,-8.9068,10.0
S2B6,12.6862,0.0,-14.4088,10.0
S2B7,17.9698,0.0,-15.7697,-170.0
S2B8,17.9698,0.0,-10.2778,-170.0
S2B9,17.9698,0.0,-4.7503,-170.0
S3B1,8.5468,0.0,2.3880,-170.0
S3B2,8.5468,0.0,7.8865,-170.0
S3B3,12.6862,0.0,10.3221,10.0
S3B4,12.6862,0.0,4.8201,10.0
S3B5,17.9698,0.0,0.6750,-170.0
S3B6,17.9698,0.0,6.1669,-170.0
S3B7,17.9698,0.0,11.6944,-170.0
S4B1,8.5468,0.0,16.0754,-170.0
S4B2,8.5468,0.0,21.5739,-170.0
S4B3,8.5468,0.0,27.0226,-170.0
S4B4,12.6862,0.0,29.4582,10.0
S4B5,12.6862,0.0,24.0095,10.0
S4B6,12.6862,0.0,18.5074,10.0
S4B7,17.9698,0.0,17.1465,-170.0
S4B8,17.9698,0.0,22.6385,-170.0
S4B9,17.9698,0.0,28.1659,-170.0
S5B1,-2.3151,0.0,-33.3818,-170.0
S5B2,-2.3151,0.0,-27.8833,-170.0
S5B3,1.8243,0.0,-25.4477,10.0
S5B4,1.8243,0.0,-30.9497,10.0
S5B5,-7.492,0.0,-18.8479,10.0
S5B6,-7.492,0.0,-24.3398,10.0
S5B7,-7.492,0.0,-29.8673,10.0
S6B1,-2.3151,0.0,-16.9160,-170.0
S6B2,-2.3151,0.0,-11.4175,-170.0
S6B3,-2.3151,0.0,-5.9232,-170.0
S6B4,1.8243,0.0,-3.4876,10.0
S6B5,1.8243,0.0,-8.9819,10.0
S6B6,1.8243,0.0,-14.4840,10.0
S6B7,-7.492,0.0,-5.0154,10.0
S6B8,-7.492,0.0,-10.5429,10.0
S7B1,-2.3151,0.0,2.3429,-170.0
S7B2,-2.3151,0.0,7.8415,-170.0
S7B3,1.8243,0.0,10.2771,10.0
S7B4,1.8243,0.0,4.7750,10.0
S7B5,-7.492,0.0,14.0727,10.0
S7B6,-7.492,0.0,8.5808,10.0
S7B7,-7.492,0.0,3.0533,10.0
S8B1,-2.3151,0.0,16.0095,-170.0
S8B2,-2.3151,0.0,21.5080,-170.0
S8B3,-2.3151,0.0,27.0023,-170.0
S8B4,1.8243,0.0,29.4379,10.0
S8B5,1.8243,0.0,23.9436,10.0
S8B6,1.8243,0.0,18.4415,10.0
S8B7,-7.492,0.0,25.0443,10.0
S8B8,-7.492,0.0,30.5718,10.0
S9B1,-19.0499,0.0,-33.4084,-170.0
S9B2,-19.0499,0.0,-27.9099,-170.0
S9B3,-19.0499,0.0,-22.4156,-170.0
S9B4,-19.0499,0.0,-16.9119,-170.0
S9B5,-14.9105,0.0,-14.4763,10.0
S9B6,-14.9105,0.0,-19.9800,10.0
S9B7,-14.9105,0.0,-25.4743,10.0
S9B8,-14.9105,0.0,-30.9764,10.0
S9B9,-24.6301,0.0,-18.8152,10.0
S9B10,-24.6301,0.0,-24.3190,10.0
S9B11,-24.6301,0.0,-29.8109,10.0
S10B1,-19.0499,0.0,5.0723,-170.0
S10B2,-19.0499,0.0,10.5708,-170.0
S10B3,-19.0499,0.0,16.0651,-170.0
S10B4,-14.9105,0.0,18.5007,10.0
S10B5,-14.9105,0.0,13.0064,10.0
S10B6,-14.9105,0.0,7.5043,10.0
S10B7,-24.6301,0.0,14.1617,10.0
S10B8,-24.6301,0.0,8.6698,10.0
S11B1,-16.4000,0.0,-1.1500,160.0
S11B2,-24.8500,0.0,-1.1500,10.0
