Booth Name,Pos X,Pos Z,Rotation Y (Degrees)
S1B1,-2.9259,-31.492,-90
S1B2,-2.9259,-25.9935,-90
S1B3,2.8874,-25.9923,90
S1B4,2.8874,-31.4944,90
S1B5,-6.6612,-31.7873,90
S1B6,-6.6612,-26.2887,90
S1B7,-6.6612,-20.7867,90
S2B1,-2.9259,-15.4788,-90
S2B2,-2.9259,-9.9768,-90
S2B3,-2.9259,-4.4782,-90
S2B4,2.8874,-4.4771,90
S2B5,2.8874,-9.9791,90
S2B6,2.8874,-15.4776,90
S2B7,-6.6612,-9.8009,90
S3B1,-2.9259,5.6764,-90
S3B2,-2.9259,11.1749,-90
S3B3,2.8874,11.1761,90
S3B4,2.8874,5.674,90
S3B5,-6.6612,3.0684,90
S3B6,-6.6612,8.5669,90
S3B7,-6.6612,14.069,90
S4B1,-2.9259,21.0815,-90
S4B2,-2.9259,26.5704,-90
S4B3,-2.9259,32.069,-90
S4B4,2.8874,32.0701,90
S4B5,2.8874,26.5681,90
S4B6,2.8874,21.0792,90
S4B7,-6.6612,26.0805,90
S4B8,-6.6612,31.5825,90
S5B1,7.1178,-15.4653,-90
S5B2,7.1178,-9.9763,-90
S5B3,7.1178,-4.4778,-90
S5B4,12.8674,-4.4766,90
S5B5,12.8674,-9.9787,90
S5B6,12.8674,-15.4676,90
S5B7,17.1636,-17.379,-90
S5B8,17.1636,-11.8901,-90
S5B9,17.1636,-6.3916,-90
S5B10,17.1636,-0.9008,-90
S6B1,7.1178,5.6834,-90
S6B2,7.1178,11.1819,-90
S6B3,12.8674,11.1831,90
S6B4,12.8674,5.6811,90
S6B5,17.1636,4.5881,-90
S6B6,17.1636,10.0866,-90
S6B7,17.1636,15.5726,-90
S7B1,7.1178,21.0815,-90
S7B2,7.1178,26.5704,-90
S7B3,7.1178,32.069,-90
S7B4,12.8674,32.0701,90
S7B5,12.8674,26.5681,90
S7B6,12.8674,21.0792,90
S7B7,17.1636,21.0615,-90
S7B8,17.1636,26.56,-90
S7B9,17.1636,32.0654,-90
S8B1,-19.8544,-31.4843,-90
S8B2,-19.8544,-25.979,-90
S8B3,-19.8544,-20.49,-90
S8B4,-19.8544,-14.9915,-90
S8B5,-14.0363,-14.9903,90
S8B6,-14.0363,-20.4924,90
S8B7,-14.0363,-25.9813,90
S8B8,-14.0363,-31.4867,90
S8B9,-24.299,-31.7873,90
S8B10,-24.299,-26.2887,90
S8B11,-24.299,-20.7867,90
S8B12,-24.299,-15.2977,90
S9B1,-19.8544,9.8886,-90
S9B2,-19.8544,15.3776,-90
S9B3,-14.0363,15.3752,90
S9B4,-14.0363,9.8863,90
S9B5,-24.299,9.6008,90
S9B6,-24.299,15.0993,90
S10B1,-19.8544,20.8829,-90
S10B2,-19.8544,26.3719,-90
S10B3,-19.8544,31.8704,-90
S10B4,-14.0363,31.8716,90
S10B5,-14.0363,26.3695,90
S10B6,-14.0363,20.8806,90
S10B7,-24.299,25.8855,90
S10B8,-24.299,31.3744,90
